distribution,model,hamiltonian_error_clean,step_size
high_dimensional_gaussian,Explicit NNODEgHMC,0.00073969,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00440498,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.01892145,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.04527038,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.08056977,0.1
high_dimensional_gaussian,NNODEgHMC,0.00073969,0.1
high_dimensional_gaussian,NNODEgHMC,0.00099667,0.1
high_dimensional_gaussian,NNODEgHMC,0.0016587499999999999,0.1
high_dimensional_gaussian,NNODEgHMC,0.00104296,0.1
high_dimensional_gaussian,NNODEgHMC,0.00130533,0.1
normal_normal,HMC,0.11203993,0.1
normal_normal,HMC,0.14732617,0.1
normal_normal,HMC,0.09930862,0.1
normal_normal,HMC,0.18487746,0.1
normal_normal,HMC,0.08980086,0.1
normal_normal,NNgHMC,0.10847454,0.1
normal_normal,NNgHMC,0.13585907,0.1
normal_normal,NNgHMC,0.08107411,0.1
normal_normal,NNgHMC,0.12232078,0.1
normal_normal,NNgHMC,0.1487105,0.1
normal_normal,Explicit NNODEgHMC,0.08106663,0.1
normal_normal,Explicit NNODEgHMC,0.11948482999999999,0.1
normal_normal,Explicit NNODEgHMC,0.08369634,0.1
normal_normal,Explicit NNODEgHMC,0.16498691,0.1
normal_normal,Explicit NNODEgHMC,0.06916212,0.1
normal_normal,NNODEgHMC,0.08106663,0.1
normal_normal,NNODEgHMC,0.11903296,0.1
normal_normal,NNODEgHMC,0.08210726,0.1
normal_normal,NNODEgHMC,0.13309668,0.1
normal_normal,NNODEgHMC,0.15539299,0.1
gaussian,HMC,0.04184962,0.3
gaussian,HMC,0.11211597,0.3
gaussian,HMC,0.1186992,0.3
gaussian,HMC,0.05736911,0.3
gaussian,HMC,0.00487423,0.3
gaussian,NNgHMC,0.04208467,0.3
gaussian,NNgHMC,0.11453321,0.3
gaussian,NNgHMC,0.12647235,0.3
gaussian,NNgHMC,0.06857095,0.3
gaussian,NNgHMC,0.00270551,0.3
gaussian,Explicit NNODEgHMC,0.00257559,0.3
gaussian,Explicit NNODEgHMC,0.09484801,0.3
gaussian,Explicit NNODEgHMC,0.3459187,0.3
gaussian,Explicit NNODEgHMC,0.6946213,0.3
gaussian,Explicit NNODEgHMC,1.0225602,0.3
gaussian,NNODEgHMC,0.00257559,0.3
gaussian,NNODEgHMC,0.06927541,0.3
gaussian,NNODEgHMC,0.15163904000000003,0.3
gaussian,NNODEgHMC,0.11406145,0.3
gaussian,NNODEgHMC,0.02411632,0.3
high_dimensional_gaussian,HMC,0.00099493,0.1
